"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\DI\get_it.dart", "Dart", 5, 0, 1, 6
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\bloc\home_bloc.dart", "Dart", -6, 0, -2, -8
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\bloc\movie_detail_bloc.dart", "Dart", 30, 2, 2, 34
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\bloc\movie_detail_event.dart", "Dart", 8, 0, 2, 10
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\bloc\movie_detail_state.dart", "Dart", 9, 0, 0, 9
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\datasource\movie_detail_datasource.dart", "Dart", 13, 0, 2, 15
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\datasource\movie_link_datasource.dart", "Dart", 58, 0, 6, 64
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\model\movie_detile.dart", "Dart", 7, 0, 0, 7
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\model\movie_link.dart", "Dart", 15, 0, 3, 18
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\repository\movie_detail_repository.dart", "Dart", 11, 0, 2, 13
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\repository\movie_link_repository.dart", "Dart", 49, 0, 9, 58
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\view\movie_detail_screen.dart", "Dart", 44, -1, 2, 45
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieLink\bloc\movie_link_bloc.dart", "Dart", 26, 0, 2, 28
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieLink\bloc\movie_link_event.dart", "Dart", 7, 0, 4, 11
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieLink\bloc\moviie_link_state.dart", "Dart", 8, 0, 5, 13
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieLink\view\movie_link_screen.dart", "Dart", 196, 0, 7, 203
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\bloc\movie_list_bloc.dart", "Dart", 2, 0, 0, 2
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\data\repository\movie_list_repository.dart", "Dart", 0, 0, -1, -1
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\main.dart", "Dart", -4, 0, 0, -4
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\enum\link_enum.type.dart", "Dart", 5, 0, 1, 6
"Total", "-", 483, 1, 45, 529
